tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,42,"Equipo Médico, Accesorios y Suministros",4216,Equipo de diálisis y suministros,517a03a277ac96e005eafaf8252de582c35d4bd540a34d9cc6ecc803919e82fb
Producto,42,"Equipo Médico, Accesorios y Suministros",4226,Equipo y suministros post mortem y funerarios,86083aa731d6b8d5d45d3cb5b777abc672754ea64e4e9bf67aa2f6822d28ac81
Producto,42,"Equipo Médico, Accesorios y Suministros",4215,Equipos y suministros dentales,e5df14488e87dff4b28b8eb2bb300a5ca00de47ae1f6855b1fb7a0ffdabbd201
Producto,42,"Equipo Médico, Accesorios y Suministros",4212,Equipos y suministros veterinarios,39b75f47c0db4c668b21c3f4ba249b82db6ed66051ad71d43aef514bbc138554
Producto,42,"Equipo Médico, Accesorios y Suministros",4232,Implantes ortopédicos quirúrgicos,dacf71aa16fcf2f7cc89a64f405f160fd93a3b7367274f709562c29a6da2df0e
Producto,42,"Equipo Médico, Accesorios y Suministros",4223,Nutrición clínica,e961d380fd190662f7c8f98068fc1752695f0c78d13fcd029b3efed1624c15ec
Producto,42,"Equipo Médico, Accesorios y Suministros",4219,Productos de centro médico,d4db6693f1f9c71bd29b0140de72c6963ffb6672d330f60d43f9ba1eecc3437e
Producto,42,"Equipo Médico, Accesorios y Suministros",4218,Productos de examen y control del paciente,9a6bbfb9b41c1d801aad8c5e6d44123bee2a9cd2e1d0e7e5331a3c353c5ab7df
Producto,42,"Equipo Médico, Accesorios y Suministros",4220,Productos de hacer imágenes diagnósticas médicas y de medicina nuclear,ac58c60a1a164ea2457f6bbd56371e7e141a243bcbd0b2d1127c581dbd8e16ba
Producto,42,"Equipo Médico, Accesorios y Suministros",4225,Productos de rehabilitación y terapia ocupacional y física,ca01a70ee22c3df531ba032689b215c319e3a24de3857032fa97e4345a7e1eaa
Producto,42,"Equipo Médico, Accesorios y Suministros",4227,"Productos de resucitación, anestesia y respiratorio",d5cee95387a3e57c26572faac4cf15a2eb84b42ea47925a05adbe312774c4c3d
Producto,42,"Equipo Médico, Accesorios y Suministros",4224,Productos medicinales de deportes y ortopédicos y prótesis,555d3d228bdacdd13a93b4369feaa55392c5ea3c0cc5eb9c68048e937004d514
Producto,42,"Equipo Médico, Accesorios y Suministros",4222,Productos para administración intravenosa y arterial,ac1fab696933d2d9b757c5c7c1086ca63eb3622a29342f9854c86d2a30105aaf
Producto,42,"Equipo Médico, Accesorios y Suministros",4231,Productos para el cuidado de heridas,d60ed2314d4b56b646b981146c7a9e1546bfa9eab7b97f710b67fb6f7f6dbaf8
Producto,42,"Equipo Médico, Accesorios y Suministros",4228,Productos para la esterilización médica,67304f3ad42632f6175defd38cc296e97a9d7b91ac70f1607a0e962e058ad35c
Producto,42,"Equipo Médico, Accesorios y Suministros",4217,Productos para los servicios médicos de urgencias y campo,e768f82267607ed9b8e3777deba56b00a80b40fa2f2073a6cd7badb3c56270b2
Producto,42,"Equipo Médico, Accesorios y Suministros",4229,Productos quirúrgicos,5d5ab4da78cc6dd8f5cd68f72aee1a541d8b22d9ee794bea725c2bbda17ef9f7
Producto,42,"Equipo Médico, Accesorios y Suministros",4230,Suministros para formación y estudios de medicina,2e9bffeea25ec47b1e2a1c68e7156403d81d80905dfa9fb1fdf828908627d2ef
Producto,42,"Equipo Médico, Accesorios y Suministros",4214,"Suministros, productos de tratamiento y cuidado del enfermo",3a440e15e173dab03520b89155b7fb72c1378f73fd7215288065e52cfb8f3630
Producto,42,"Equipo Médico, Accesorios y Suministros",4213,Telas y vestidos médicos,6810e36e8f9095b550ed8be64bfa0bd0876782f5020c59c795085ac8bff00420
